"country","min","max","province","state"
MY,1000,2800,,Perlis
MY,5000,9810,,Kedah
MY,10000,14400,,"Pulau Pinang"
MY,15000,18500,,Kelantan
MY,20000,24300,,Terengganu
MY,25000,28800,,Pahang
MY,39000,39200,,Pahang
MY,49000,49000,,Pahang
MY,69000,69000,,Pahang
MY,30000,36810,,Perak
MY,40000,48300,,Selangor
MY,63000,68100,,Selangor
MY,50000,60000,,"WP Kuala Lumpur"
MY,70000,73509,,"Negeri Sembilan"
MY,75000,78309,,Melaka
MY,79000,86900,,Johor
MY,87000,87033,,"WP Labuan"
MY,88000,91309,,Sabah
MY,93000,98859,,Sarawak
